Time(us),Reading
10697098,1431.29
10708097,1522.55
10719099,1617.63
10730097,1718.80
10742099,1839.26
10753097,1966.33
10764098,2175.09
10775097,2411.15
10786099,2677.80
10797097,3042.66
10809099,3362.16
10820097,3607.95
10831098,3865.04
10842097,4108.92
10853098,4376.26
10864097,4658.21
10876098,4931.29
10887097,5111.55
10898098,5258.26
10909097,5313.54
10920099,5295.81
10931097,5205.94
10943099,5074.00
10954097,4903.48
10965099,4731.74
10976097,4487.16
10987098,4222.08
10998097,3863.82
11010098,3501.91
11021097,3152.17
11032098,2788.18
11043097,2453.56
11054098,2137.72
11065097,1826.05
11077099,1554.18
11088097,1349.59
11099098,1202.88
11110097,1077.38
11121098,995.68
11132097,906.16
11144099,866.70
11155097,854.36
11166098,816.12
11177097,782.22
11188098,727.64
11199097,661.41
11211098,619.17
11222097,590.84
11233098,571.02
11244097,576.76
11255098,546.34
11266097,513.66
11278099,515.40
11289097,517.13
11300098,513.48
11311097,529.65
11322099,552.77
11333097,589.97
11345098,618.13
11356097,681.92
11367099,723.99
11378097,765.71
11389098,875.91
11400097,984.21
11412098,1117.18
11423097,1335.51
11434099,1556.44
11445097,1828.48
11456099,2179.44
11467097,2534.39
11479099,2960.10
11490097,3417.61
11501099,3885.72
11512097,4310.56
11523099,4647.43
11534097,4942.42
11546098,5188.38
11557097,5398.88
11568099,5560.54
11579097,5638.07
11590098,5616.69
11601097,5555.50
11613098,5374.72
11624097,5168.22
11635098,4906.09
11646097,4642.22
11657099,4328.46
11668097,3942.74
11680098,3563.10
11691097,3161.04
11702099,2810.78
11713097,2539.78
11724099,2248.10
11735097,1992.23
11747098,1760.34
11758097,1542.89
11769098,1359.33
11780097,1202.53
11791099,1079.64
11803097,973.95
11814098,928.76
11825097,880.43
11836098,820.46
11847097,814.20
11858098,813.86
11870097,794.21
11881098,771.96
11892097,774.92
11903098,792.48
11914097,803.95
11925098,794.91
11937097,824.11
11948098,858.70
11959097,863.22
11970098,858.88
11981097,867.74
11992098,850.88
12004097,836.98
12015098,873.31
12026097,886.86
12037099,912.42
12048097,921.98
12059098,930.84
12071097,956.22
12082099,1039.48
12093097,1065.56
12104098,1075.12
12115097,1150.56
12126098,1183.41
12138097,1257.11
12149098,1393.92
12160097,1576.78
12171098,1727.66
12182097,1847.08
12193098,1941.12
12205097,2008.74
12216099,2066.10
12227097,2184.65
12238098,2387.51
12249097,2616.44
12260099,2887.09
12272097,3206.06
12283098,3589.00
12294097,3937.52
12305098,4276.49
12316097,4594.76
12327098,4861.06
12339097,5031.76
12350099,5160.22
12361097,5263.30
12372099,5343.09
12383097,5258.95
12394099,5071.92
12406097,4902.96
12417099,4682.37
12428097,4441.10
12439098,4215.82
12450097,3945.87
12461098,3680.09
12473097,3377.63
12484099,3135.66
12495097,2915.94
12506098,2705.79
12517097,2545.34
12528098,2396.38
12540097,2238.37
12551098,2038.81
12562097,1912.09
12573099,1808.67
12584097,1715.50
12595099,1663.52
12607097,1605.29
12618098,1592.25
12629097,1607.20
12640098,1587.21
12651097,1574.52
12662098,1582.87
12674097,1563.75
12685099,1546.88
12696097,1504.47
12707098,1468.31
12718097,1442.41
12729098,1411.82
12741097,1428.16
12752098,1390.44
12763097,1329.95
12774099,1301.96
12785097,1295.18
12796098,1282.67
12808097,1305.79
12819099,1355.33
12830097,1395.48
12841098,1398.78
12852097,1445.20
12863098,1499.43
12875097,1556.62
12886098,1588.60
12897097,1634.49
12908099,1663.70
12919097,1722.45
12930098,1785.37
12942097,1816.14
12953099,1863.42
12964097,1931.56
12975098,2003.87
12986097,2037.60
12997098,2083.66
13009097,2123.82
13020098,2151.28
13031097,2159.10
13042099,2186.39
13053097,2248.45
13064098,2293.64
13076097,2305.29
13087099,2291.38
13098097,2325.63
13109099,2325.63
13120097,2308.59
13132099,2320.07
13143097,2301.81
13154099,2287.91
13165097,2260.79
13176098,2254.71
13187097,2229.15
13199098,2207.43
13210097,2170.92
13221098,2182.74
13232097,2146.41
13243099,2101.91
13254097,2099.13
13266099,2112.34
13277097,2141.55
13288098,2152.50
13299097,2158.41
13310099,2146.06
13321097,2157.19
13333099,2195.26
13344097,2228.46
13355099,2246.71
13366097,2270.35
13377099,2311.90
13388097,2340.58
13400098,2351.70
13411097,2331.19
13422099,2285.65
13433097,2246.88
13444099,2263.22
13455097,2242.02
13467099,2170.40
13478097,2137.20
13489098,2099.65
13500097,2051.16
13511098,2006.31
13522097,1950.34
13534099,1908.27
13545097,1872.81
13556099,1867.59
13567097,1907.40
13578099,1952.42
13589097,1996.92
13601099,2024.39
13612097,2048.37
13623099,2068.71
13634097,2118.08
13645098,2193.17
13656097,2246.36
13668098,2260.62
13679097,2288.08
13690099,2286.17
13701097,2298.16
13712098,2315.89
13723097,2318.15
13735098,2340.58
13746097,2353.27
13757099,2348.40
13768097,2373.95
13779098,2410.28
13790097,2413.58
13802099,2414.28
13813097,2432.36
13824098,2482.59
13835097,2518.58
13846099,2575.42
13857097,2615.57
13869099,2599.41
13880097,2591.24
13891099,2629.30
13902097,2646.86
13913099,2655.38
13924097,2644.95
13936098,2615.57
13947097,2611.57
13958099,2626.00
13969097,2593.49
13980099,2552.12
13991097,2486.07
14003099,2465.21
14014097,2432.53
14025098,2390.29
14036097,2412.72
14047099,2380.90
14058097,2344.92
14070099,2311.72
14081097,2310.16
14092098,2361.44
14103097,2395.85
14114099,2409.24
14125097,2482.59
14137099,2569.85
14148097,2559.42
14159099,2586.19
14170097,2656.07
14181098,2720.21
14192097,2756.89
14204099,2766.97
14215097,2792.53
14226098,2828.16
14237097,2849.02
14248099,2857.19
14259097,2839.63
14271099,2811.47
14282097,2784.70
14293099,2734.47
14304097,2695.71
14315098,2665.63
14326097,2597.67
14338099,2507.80
14349097,2452.00
14360098,2382.82
14371097,2328.76
14382098,2248.80
14394097,2231.59
14405099,2201.86
14416097,2186.22
14427098,2229.50
14438097,2233.67
14449098,2261.14
14461097,2308.59
14472099,2336.93
14483097,2352.74
14494098,2383.34
14505097,2412.37
14516099,2455.48
14528097,2480.86
14539099,2480.86
14550097,2467.64
14561099,2484.33
14572097,2515.27
14583098,2551.60
14595097,2584.80
14606098,2606.18
14617097,2610.70
14628099,2614.18
14639097,2613.83
14650099,2635.73
14662097,2668.76
14673098,2725.43
14684097,2774.97
14695099,2813.73
14706097,2840.33
14717099,2882.22
14729097,2972.78
14740099,3021.46
14751097,3060.39
14762099,3132.01
14773097,3165.73
14784099,3203.11
14796097,3244.48
14807099,3259.77
14818097,3300.62
14829099,3299.93
14840097,3300.80
14851099,3300.45
14863097,3284.11
14874099,3227.27
14885097,3132.53
14896099,3081.60
14907097,3073.95
14918099,3002.68
14930097,2968.27
14941098,2886.74
14952097,2863.62
14963099,2886.91
14974097,2880.83
14985098,2850.24
14997097,2809.21
15008098,2804.69
15019097,2821.73
15030099,2823.82
15041097,2820.69
15052099,2823.47
15064097,2851.98
15075099,2885.18
15086097,2926.89
15097099,2991.21
15108097,3065.09
15119099,3133.40
15131097,3177.03
15142098,3206.58
15153097,3230.22
15164099,3207.10
15175097,3182.07
15186099,3149.39
15198097,3107.33
15209099,3009.46
15220097,2905.34
15231099,2773.75
15242097,2650.51
15253099,2509.19
15265097,2366.30
15276098,2250.01
15287097,2180.31
15298098,2123.47
15309097,2113.73
15320098,2161.54
15332097,2176.48
15343099,2180.83
15354097,2204.64
15365098,2227.59
15376097,2247.93
15387098,2273.65
15399097,2275.22
15410098,2282.00
15421097,2290.69
15432099,2308.07
15443097,2320.07
15454098,2326.50
15466097,2387.51
15477098,2404.55
15488097,2420.36
15499099,2487.11
15510097,2531.09
15521099,2565.16
15533097,2598.54
15544099,2634.69
15555097,2679.89
15566099,2724.56
15577097,2777.58
15588098,2829.38
15600097,2879.61
15611099,2915.77
15622097,2939.93
15633099,2969.83
15644097,2960.96
15655099,2976.44
15667097,2945.49
15678099,2888.65
15689097,2840.33
15700099,2754.46
15711097,2661.98
15723098,2579.42
15734097,2422.80
15745099,2268.27
15756097,2170.57
15767098,2039.34
15778097,1925.65
15790098,1814.75
15801097,1709.24
15812098,1559.23
